Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Price,Product
1,Unpolarized capacitor,C,C1 C2 C3 C4,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4, ,~,0.08,https://www.mouser.de/ProductDetail/KEMET/C1206C104M5RACTU?qs=sGAEpiMZZMsh%252B1woXyUXj6tIJRuySv4mnVhZeDkx3gA%3D
2,,LOGO,G1,LOGO,grayc-logo-negative,1, ,,,
3,"Open Hardware logo, small",Logo_Open_Hardware_Small,G2,Logo_Open_Hardware_Small,OSHW-Logo2_7.3x6mm_SilkScreen,1, ,~,,
4,"Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x14,J2 J3,East,PinHeader_1x14_P2.54mm_Vertical,2, ,~,1.10,https://www.mouser.de/ProductDetail/Samtec/TSW-114-08-T-S?qs=rU5fayqh%252BE0UYy2JFyXftg%3D%3D
5,Micro SD Card Socket with card detection pins,Micro_SD_Card_Det_Hirose_DM3AT,J1,Micro_SD,GCT_MEM2061-01-188-00-A_REVA,1, ,https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1,2.19,https://www.mouser.de/ProductDetail/Hirose-Connector/DM3AT-SF-PEJM5?qs=LZSZKJVF%252B2WTDKp%252BR7IYAQ%3D%3D
6,Resistor,R,R1 R2 R3 R4 R5 R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,6, ,~,0.47,https://www.mouser.de/ProductDetail/KOA-Speer/RN73H2BTTD1002F100?qs=egkD4cx1ihTb7AhpW1EERA%3D%3D
7,"Push button switch, generic, two pins",SW_Push,SW1,Prog,SW4SMD_63X161LS,1, ,~,0.48,https://www.mouser.de/ProductDetail/CK/KMR231NGLFS?qs=%2Fha2pyFadug3C1LnpDTh3GC1%2FP5lYycwloRiMj1YBj0YTOPG2eMzYg%3D%3D
8,"Push button switch, generic, two pins",SW_Push,SW2,Reset,SW4SMD_63X161LS,1, ,~,0.48,https://www.mouser.de/ProductDetail/CK/KMR231NGLFS?qs=%2Fha2pyFadug3C1LnpDTh3GC1%2FP5lYycwloRiMj1YBj0YTOPG2eMzYg%3D%3D
9,"Cryptographic Co-Processor with Secure Hardware-based 16 Key Storage, ECDSA and ECDH support, I2C, SOIC-8",ATECC608A-SSHDA,U1,ATECC608A-SSHDA,SOIC-8_3.9x4.9mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/ATECC608A-CryptoAuthentication-Device-Summary-Data-Sheet-DS40001977B.pdf,0.84,https://www.mouser.de/ProductDetail/Microchip-Technology/ATECC608A-SSHDA-B?qs=wd5RIQLrsJj8ay8%2FHpTWlw%3D%3D
10,,ESP32-WROVER-IE-16MB,U2,ESP32-WROVER-IE-16MB,ESP32-WROVER,1, ,https://www.mouser.de/datasheet/2/891/esp32_wrover_e_esp32_wrover_ie_datasheet_en-1855913.pdf,3.26,https://www.mouser.de/ProductDetail/Espressif-Systems/ESP32-WROVER-IEM213EH2864UH3Q0?qs=sGAEpiMZZMu3sxpa5v1qrgqRbH4gaXhhJoRXauER4Ss%3D





Project info:
Schematic:,soc-module
Variant:,default
Revision:,2.0
Date:,2021-12-01
KiCad Version:,6.0.10+dfsg-1~bpo11+1
Statistics:
Component Groups:,10
Component Count:,19 (12 SMD/ 6 THT)
Fitted Components:,19 (12 SMD/ 6 THT)
Number of PCBs:,1
Total Components:,19
